pclass,survived,name,gender,age,fare,embarked
1,1,"Allen, Miss. Elisabeth Walton",female,29.0,211.34,S
1,1,"Allison, Master. Hudson Trevor",male,0.9167,151.55,S
1,D,"Allison, Miss. Helen Loraine",female,2.0,151.55,S
1,D,"Allison, Mr. Hudson Joshua Creighton",male,30.0,151.55,S
1,D,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,25.0,151.55,S
1,1,"Anderson, Mr. Harry",male,48.0,26.55,S
1,1,"Andrews, Miss. Kornelia Theodosia",female,63.0,77.96,S
1,D,"Andrews, Mr. Thomas Jr",male,39.0,0.0,S
1,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",female,53.0,51.48,S
1,D,"Artagaveytia, Mr. Ramon",male,71.0,49.5,C
1,D,"Astor, Col. John Jacob",male,47.0,227.53,C
1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,18.0,227.53,C
1,1,"Aubart, Mme. Leontine Pauline",female,24.0,69.3,C
1,1,"Barber, Miss. Ellen ""Nellie""",female,26.0,78.85,S
1,1,"Barkworth, Mr. Algernon Henry Wilson",male,80.0,30.0,S
1,D,"Baumann, Mr. John D",male,29.8811345124283,25.93,S
1,D,"Baxter, Mr. Quigg Edmond",male,24.0,247.52,C
1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50.0,247.52,C
1,1,"Bazzani, Miss. Albina",female,32.0,76.29,C
1,D,"Beattie, Mr. Thomson",male,36.0,75.24,C
1,1,"Beckwith, Mr. Richard Leonard",male,37.0,52.55,S
1,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,47.0,52.55,S
1,1,"Behr, Mr. Karl Howell",male,26.0,30.0,C
1,1,"Bidois, Miss. Rosalie",female,42.0,227.53,C
1,1,"Bird, Miss. Ellen",female,29.0,221.78,S
1,D,"Birnbaum, Mr. Jakob",male,25.0,26.0,C
1,1,"Bishop, Mr. Dickinson H",male,25.0,91.08,C
1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19.0,91.08,C
1,1,"Bissette, Miss. Amelia",female,35.0,135.63,S
1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28.0,26.55,S
1,D,"Blackwell, Mr. Stephen Weart",male,45.0,35.5,S
1,1,"Blank, Mr. Henry",male,40.0,31.0,C
1,1,"Bonnell, Miss. Caroline",female,30.0,164.87,S
1,1,"Bonnell, Miss. Elizabeth",female,58.0,26.55,S
1,D,"Borebank, Mr. John James",male,42.0,26.55,S
1,1,"Bowen, Miss. Grace Scott",female,45.0,262.38,C
1,1,"Bowerman, Miss. Elsie Edith",female,22.0,55.0,S
1,1,"Bradley, Mr. George (""George Arthur Brayton"")",male,29.8811345124283,26.55,S
1,D,"Brady, Mr. John Bertram",male,41.0,30.5,S
1,D,"Brandeis, Mr. Emil",male,48.0,50.5,C
1,D,"Brewe, Dr. Arthur Jackson",male,29.8811345124283,39.6,C
1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,27.72,C
1,1,"Brown, Mrs. John Murray (Caroline Lane Lamson)",female,59.0,51.48,S
1,1,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",female,60.0,76.29,C
1,1,"Burns, Miss. Elizabeth Margaret",female,41.0,134.5,C
1,D,"Butt, Major. Archibald Willingham",male,45.0,26.55,S
1,D,"Cairns, Mr. Alexander",male,29.8811345124283,31.0,S
1,1,"Calderhead, Mr. Edward Pennington",male,42.0,26.29,S
1,1,"Candee, Mrs. Edward (Helen Churchill Hungerford)",female,53.0,27.45,C
1,1,"Cardeza, Mr. Thomas Drake Martinez",male,36.0,512.33,C
1,1,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",female,58.0,512.33,C
1,D,"Carlsson, Mr. Frans Olof",male,33.0,5.0,S
1,D,"Carrau, Mr. Francisco M",male,28.0,47.1,S
1,D,"Carrau, Mr. Jose Pedro",male,17.0,47.1,S
1,1,"Carter, Master. William Thornton II",male,11.0,120.0,S
1,1,"Carter, Miss. Lucile Polk",female,14.0,120.0,S
1,1,"Carter, Mr. William Ernest",male,36.0,120.0,S
1,1,"Carter, Mrs. William Ernest (Lucile Polk)",female,36.0,120.0,S
1,D,"Case, Mr. Howard Brown",male,49.0,26.0,S
1,1,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",female,29.8811345124283,27.72,C
1,D,"Cavendish, Mr. Tyrell William",male,36.0,78.85,S
1,1,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",female,76.0,78.85,S
1,D,"Chaffee, Mr. Herbert Fuller",male,46.0,61.18,S
1,1,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",female,47.0,61.18,S
1,1,"Chambers, Mr. Norman Campbell",male,27.0,53.1,S
1,1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",female,33.0,53.1,S
1,1,"Chaudanson, Miss. Victorine",female,36.0,262.38,C
1,1,"Cherry, Miss. Gladys",female,30.0,86.5,S
1,1,"Chevre, Mr. Paul Romaine",male,45.0,29.7,C
1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,29.8811345124283,55.0,S
1,D,"Chisholm, Mr. Roderick Robert Crispin",male,29.8811345124283,0.0,S
1,D,"Clark, Mr. Walter Miller",male,27.0,136.78,C
1,1,"Clark, Mrs. Walter Miller (Virginia McDowell)",female,26.0,136.78,C
1,1,"Cleaver, Miss. Alice",female,22.0,151.55,S
1,D,"Clifford, Mr. George Quincy",male,29.8811345124283,52.0,S
1,D,"Colley, Mr. Edward Pomeroy",male,47.0,25.59,S
1,1,"Compton, Miss. Sara Rebecca",female,39.0,83.16,C
1,D,"Compton, Mr. Alexander Taylor Jr",male,37.0,83.16,C
1,1,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",female,64.0,83.16,C
1,1,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",female,55.0,25.7,S
1,D,"Crafton, Mr. John Bertram",male,29.8811345124283,26.55,S
1,D,"Crosby, Capt. Edward Gifford",male,70.0,71.0,S
1,1,"Crosby, Miss. Harriet R",female,36.0,71.0,S
1,1,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",female,64.0,26.55,S
1,D,"Cumings, Mr. John Bradley",male,39.0,71.28,C
1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,71.28,C
1,1,"Daly, Mr. Peter Denis ",male,51.0,26.55,S
1,1,"Daniel, Mr. Robert Williams",male,27.0,30.5,S
1,1,"Daniels, Miss. Sarah",female,33.0,151.55,S
1,D,"Davidson, Mr. Thornton",male,31.0,52.0,S
1,1,"Davidson, Mrs. Thornton (Orian Hays)",female,27.0,52.0,S
1,1,"Dick, Mr. Albert Adrian",male,31.0,57.0,S
1,1,"Dick, Mrs. Albert Adrian (Vera Gillespie)",female,17.0,57.0,S
1,1,"Dodge, Dr. Washington",male,53.0,81.86,S
1,1,"Dodge, Master. Washington",male,4.0,81.86,S
1,1,"Dodge, Mrs. Washington (Ruth Vidaver)",female,54.0,81.86,S
1,D,"Douglas, Mr. Walter Donald",male,50.0,106.43,C
1,1,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",female,27.0,247.52,C
1,1,"Douglas, Mrs. Walter Donald (Mahala Dutton)",female,48.0,106.43,C
1,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",female,48.0,39.6,C
1,1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",male,49.0,56.93,C
1,D,"Dulles, Mr. William Crothers",male,39.0,29.7,C
1,1,"Earnshaw, Mrs. Boulton (Olive Potter)",female,23.0,83.16,C
1,1,"Endres, Miss. Caroline Louise",female,38.0,227.53,C
1,1,"Eustis, Miss. Elizabeth Mussey",female,54.0,78.27,C
1,D,"Evans, Miss. Edith Corse",female,36.0,31.68,C
1,D,"Farthing, Mr. John",male,29.8811345124283,221.78,S
1,1,"Flegenheim, Mrs. Alfred (Antoinette)",female,29.8811345124283,31.68,S
1,1,"Fleming, Miss. Margaret",female,29.8811345124283,110.88,C
1,1,"Flynn, Mr. John Irwin (""Irving"")",male,36.0,26.39,S
1,D,"Foreman, Mr. Benjamin Laventall",male,30.0,27.75,C
1,1,"Fortune, Miss. Alice Elizabeth",female,24.0,263.0,S
1,1,"Fortune, Miss. Ethel Flora",female,28.0,263.0,S
1,1,"Fortune, Miss. Mabel Helen",female,23.0,263.0,S
1,D,"Fortune, Mr. Charles Alexander",male,19.0,263.0,S
1,D,"Fortune, Mr. Mark",male,64.0,263.0,S
1,1,"Fortune, Mrs. Mark (Mary McDougald)",female,60.0,263.0,S
1,1,"Francatelli, Miss. Laura Mabel",female,30.0,56.93,C
1,D,"Franklin, Mr. Thomas Parham",male,29.8811345124283,26.55,S
1,1,"Frauenthal, Dr. Henry William",male,50.0,133.65,S
1,1,"Frauenthal, Mr. Isaac Gerald",male,43.0,27.72,C
1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,29.8811345124283,133.65,S
1,1,"Frolicher, Miss. Hedwig Margaritha",female,22.0,49.5,C
1,1,"Frolicher-Stehli, Mr. Maxmillian",male,60.0,79.2,C
1,1,"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",female,48.0,79.2,C
